iter	MultiClass
0	1.203267731
1	0.9695957959
2	0.8560050608
3	0.7818582212
4	0.7357858433
5	0.6970019544
6	0.6727739816
7	0.6491735057
8	0.6278979704
9	0.6068120645
10	0.6010744343
11	0.589437731
12	0.5797606654
13	0.5710763154
14	0.5633016241
15	0.5561622772
16	0.549486785
17	0.5451168375
18	0.5368132626
19	0.528897996
20	0.5241593945
21	0.5212928529
22	0.5178599558
23	0.514357099
24	0.5096457283
25	0.5078203262
26	0.5055270316
27	0.5041478518
28	0.5028772556
29	0.5015400908
30	0.4980023226
31	0.4968145358
32	0.4960565658
33	0.4943468413
34	0.4936804814
